Tipo_Estacao,Local_Nome_Estacao,Contagem,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Valores Nulos,% Nulos
automatica,TANGARA DA SERRA,124,1.98,2.1,0.8,0.0,3.5,30,19.48
automatica,TARTARUGALZINHO,48,2.1,2.1,0.3,1.5,2.6,30,38.46
automatica,TAUA,103,2.39,2.4,0.88,0.0,3.8,51,33.12
automatica,TAUBATE,126,1.88,1.8,0.29,1.2,2.6,28,18.18
automatica,TEOFILO OTONI,134,1.69,1.65,0.51,0.6,2.8,20,12.99
automatica,TERESINA,129,1.17,1.1,0.27,0.8,1.9,25,16.23
automatica,TERESOPOLIS-PARQUE NACIONAL,147,0.71,0.7,0.28,0.2,1.3,7,4.55
automatica,TEUTONIA,137,1.86,1.9,0.21,1.3,2.5,8,5.52
automatica,TIANGUA,51,3.43,3.4,0.54,2.3,4.5,29,36.25
automatica,TIMOTEO,142,0.83,0.8,0.35,0.0,1.6,12,7.79
automatica,TOME ACU,102,0.86,0.85,0.24,0.3,1.4,52,33.77
automatica,TORRES,137,2.79,2.7,0.42,2.0,3.9,17,11.04
automatica,TRAMANDAI,111,3.95,4.2,1.15,0.1,5.9,43,27.92
automatica,TRES LAGOAS,108,1.19,1.2,0.32,0.2,1.8,46,29.87
automatica,TRES MARIAS,144,2.33,2.4,0.61,0.2,3.8,10,6.49
automatica,TRES RIOS,95,0.87,0.8,0.16,0.5,1.2,6,5.94
automatica,TUCUMA,51,1.16,1.1,0.1,1.0,1.5,103,66.88
automatica,TUCURUI,125,0.51,0.5,0.3,0.1,1.4,29,18.83
automatica,TUPA,68,2.75,2.7,0.34,2.2,3.5,22,24.44
automatica,TUPANCIRETA,91,2.17,2.2,0.21,1.6,2.7,8,8.08
automatica,TURIACU,107,2.27,2.3,0.97,0.3,3.9,47,30.52
automatica,UAUA,101,3.77,3.8,0.58,2.0,4.9,28,21.71
automatica,UBERABA,74,2.39,2.3,0.33,1.8,3.5,16,17.78
automatica,UBERLANDIA,154,1.76,1.8,0.26,1.2,2.5,0,0.0
automatica,UNA,133,1.32,1.3,0.19,0.8,1.8,21,13.64
automatica,UNAI,148,1.52,1.5,0.35,0.6,2.6,6,3.9
automatica,URUCARA,120,0.74,0.7,0.14,0.5,1.2,34,22.08
automatica,URUCUI,133,0.76,0.7,0.42,0.1,2.3,21,13.64
automatica,URUGUAIANA,131,3.14,3.2,0.52,1.1,4.2,23,14.94
automatica,URUSSANGA,132,0.88,1.0,0.34,0.0,1.4,22,14.29
automatica,VACARIA,137,3.22,3.2,0.42,2.2,4.3,17,11.04
automatica,VALENCA,273,1.52,1.5,0.29,1.0,2.3,35,11.36
automatica,VALENCA DO PIAUI,124,1.96,1.85,0.56,1.1,3.5,30,19.48
automatica,VALPARAISO,129,1.93,1.9,0.51,0.6,3.4,25,16.23
automatica,VARGINHA,147,1.76,1.7,0.28,1.1,2.6,7,4.55
automatica,VENDA NOVA DO IMIGRANTE,56,1.04,1.0,0.18,0.8,1.4,37,39.78
automatica,VENTANIA,25,2.52,2.5,0.34,1.9,3.3,129,83.77
automatica,VICOSA,153,0.81,0.8,0.22,0.4,1.3,1,0.65
automatica,VILA BELA DA SANTISSIMA TRINDADE,103,1.18,1.3,0.6,0.0,2.4,51,33.12
automatica,VILA VELHA,80,2.95,2.85,0.56,2.0,4.3,13,13.98
automatica,VILHENA,104,1.73,1.7,0.15,1.4,2.2,50,32.47
automatica,VITORIA,136,1.66,1.7,0.3,1.1,2.5,18,11.69
automatica,VITORIA DA CONQUISTA,135,2.37,2.4,0.34,1.6,3.2,19,12.34
automatica,VOTUPORANGA,103,1.43,1.4,0.39,0.2,2.7,26,20.16
automatica,XANXERE,140,2.39,2.3,0.59,0.9,4.5,14,9.09
automatica,XINGUARA,30,1.51,1.5,0.18,1.3,2.0,68,69.39
automatica,ZE DOCA,20,2.09,2.0,0.43,1.6,2.7,42,67.74
convencional,AGUA BRANCA,0,,,,,,154,100.0
convencional,AIMORES,0,,,,,,31,100.0
convencional,ALAGOINHAS,0,,,,,,121,100.0
convencional,ALTAMIRA,0,,,,,,154,100.0
convencional,ALTO DA BOA VISTA,0,,,,,,154,100.0
convencional,ALTO LONGA (PILOTO DO LONGA),0,,,,,,154,100.0
convencional,ALTO PARNAIBA,0,,,,,,115,100.0
convencional,AMAPA,0,,,,,,154,100.0
convencional,ANGRA DOS REIS,0,,,,,,64,100.0
convencional,ANTONIO PRADO,0,,,,,,154,100.0
convencional,APODI,0,,,,,,154,100.0
convencional,ARACAJU,0,,,,,,108,100.0
convencional,ARACUAI,0,,,,,,154,100.0
convencional,ARAGARCAS,0,,,,,,154,100.0
convencional,ARAGUAINA,0,,,,,,154,100.0
convencional,ARAPIRACA,0,,,,,,154,100.0
convencional,ARAXA,0,,,,,,154,100.0
convencional,ARCO VERDE,0,,,,,,154,100.0
convencional,AREIA,0,,,,,,154,100.0
convencional,ARINOS,0,,,,,,154,100.0
convencional,AVARE,0,,,,,,25,100.0
convencional,AVELAR (P.DO ALFERES),0,,,,,,98,100.0
convencional,BACABAL,0,,,,,,154,100.0
convencional,BACACHERI,0,,,,,,154,100.0
convencional,BAGE,0,,,,,,154,100.0
convencional,BALSAS,0,,,,,,154,100.0
convencional,BAMBUI,0,,,,,,76,100.0
convencional,BARBACENA,0,,,,,,77,100.0
convencional,BARBALHA,0,,,,,,115,100.0
convencional,BARCELOS,0,,,,,,154,100.0
convencional,BARRA,0,,,,,,154,100.0
convencional,BARRA DO CORDA,0,,,,,,154,100.0
convencional,BARRA DO RIO GRANDE,0,,,,,,154,100.0
convencional,BARREIRAS,0,,,,,,154,100.0
convencional,BELA VISTA,0,,,,,,154,100.0
convencional,BELEM,0,,,,,,154,100.0
convencional,BELO HORIZONTE,0,,,,,,154,100.0
convencional,BELTERRA,0,,,,,,154,100.0
convencional,BENJAMIN CONSTANT,0,,,,,,154,100.0
convencional,BENTO GONCALVES,0,,,,,,24,100.0
convencional,BOA ESPERANCA,0,,,,,,141,100.0
convencional,BOA VISTA,0,,,,,,154,100.0
convencional,BOM DESPACHO,0,,,,,,85,100.0
convencional,BOM JESUS,0,,,,,,154,100.0
